,seas_id,season,player_id,player,birth_year,pos,age,experience,lg,tm,g,mp,per,ts_percent,x3p_ar,f_tr,orb_percent,drb_percent,trb_percent,ast_percent,stl_percent,blk_percent,tov_percent,usg_percent,ows,dws,ws,ws_48,obpm,dbpm,bpm,vorp
311,30769,2023,5066,Johnny Davis,2002.0,SG,20.0,1,NBA,WAS,28,423.0,7.2,0.446,0.409,0.158,2.5,13.7,8.3,9.2,1.2,1.6,8.0,20.4,-0.6,0.3,-0.3,-0.031,-5.8,-1.7,-7.4,-0.6
740,29708,2022,4910,Brandon Williams,1999.0,PG,22.0,1,NBA,POR,24,640.0,11.0,0.476,0.376,0.344,3.1,9.8,6.4,23.1,1.8,1.5,15.2,25.9,-0.7,0.2,-0.5,-0.037,-2.6,-3.1,-5.7,-0.6
945,29913,2022,4619,George King,1994.0,SF,28.0,2,NBA,DAL,4,19.0,-12.3,0.085,0.8,0.4,0.0,29.3,14.6,0.0,0.0,0.0,14.5,16.3,-0.1,0.0,-0.1,-0.296,-16.5,-3.5,-20.1,-0.1
1971,29422,2021,4548,Mike James,1990.0,PG,30.0,2,NBA,BRK,13,236.0,11.9,0.481,0.337,0.293,1.5,12.9,7.5,30.6,1.2,0.4,16.1,22.9,0.0,0.1,0.1,0.028,-2.1,-2.3,-4.4,-0.1
3070,27806,2019,4619,George King,1994.0,SF,25.0,1,NBA,PHO,1,6.0,1.9,,,,0.0,18.8,9.2,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,-0.001,-5.8,-2.1,-7.9,0.0
4013,27377,2018,4548,Mike James,1990.0,PG,27.0,1,NBA,TOT,36,687.0,13.9,0.469,0.305,0.262,2.0,12.2,7.0,29.4,2.0,0.8,12.0,25.1,-0.1,0.3,0.2,0.017,-0.5,-1.0,-1.5,0.1
4014,27378,2018,4548,Mike James,1990.0,PG,27.0,1,NBA,PHO,32,669.0,14.2,0.476,0.311,0.269,1.9,12.5,7.1,29.0,1.9,0.8,12.1,25.2,0.0,0.3,0.3,0.021,-0.3,-0.9,-1.2,0.1
4015,27379,2018,4548,Mike James,1990.0,PG,27.0,1,NBA,NOP,4,18.0,3.5,0.222,0.111,0.0,6.2,0.0,3.0,43.5,2.7,0.0,10.0,24.1,-0.1,0.0,-0.1,-0.146,-7.7,-2.4,-10.1,0.0
4347,26452,2017,3590,David Lee,1983.0,PF,33.0,12,NBA,SAS,79,1477.0,18.5,0.613,0.0,0.269,11.7,21.9,16.9,13.0,1.1,2.2,14.9,16.9,3.2,2.5,5.7,0.186,0.7,1.1,1.8,1.4
4420,26525,2017,3878,Gerald Henderson,1987.0,SG,29.0,8,NBA,PHI,72,1667.0,10.8,0.529,0.313,0.298,2.2,10.0,6.1,10.5,1.2,0.7,9.0,17.9,1.0,1.0,2.0,0.059,-2.2,-0.9,-3.1,-0.5
4622,26727,2017,3407,Mike Dunleavy,1980.0,SF,36.0,15,NBA,TOT,53,841.0,10.1,0.573,0.609,0.205,2.4,12.4,7.5,8.6,0.9,0.7,10.5,14.0,0.8,0.7,1.5,0.086,-1.3,-0.1,-1.4,0.1
4623,26728,2017,3407,Mike Dunleavy,1980.0,SF,36.0,15,NBA,CLE,23,366.0,7.6,0.539,0.633,0.211,1.6,12.3,7.1,7.5,0.8,0.4,12.5,13.7,0.1,0.2,0.3,0.041,-2.7,-0.4,-3.1,-0.1
4624,26729,2017,3407,Mike Dunleavy,1980.0,SF,36.0,15,NBA,ATL,30,475.0,11.9,0.597,0.592,0.2,3.1,12.5,7.9,9.5,0.9,0.9,9.0,14.3,0.7,0.5,1.2,0.12,-0.3,0.2,-0.1,0.2
4693,26798,2017,3899,Reggie Williams,1986.0,SF,30.0,7,NBA,NOP,6,79.0,11.7,0.518,0.478,0.304,2.7,5.4,4.0,7.2,1.9,0.0,0.0,14.6,0.1,0.1,0.2,0.098,-0.4,-0.4,-0.8,0.0
4909,25841,2016,4075,Chris Johnson,1990.0,SF,25.0,4,NBA,UTA,70,857.0,8.2,0.482,0.51,0.216,3.7,14.3,9.0,8.0,2.0,2.0,15.8,13.6,-0.1,1.2,1.1,0.059,-3.3,1.3,-2.0,0.0
4943,25875,2016,3590,David Lee,1983.0,PF,32.0,11,NBA,TOT,55,903.0,19.6,0.568,0.003,0.278,12.0,24.6,18.3,15.5,1.2,2.5,14.9,21.5,1.7,1.4,3.0,0.161,0.7,0.6,1.3,0.7
4944,25876,2016,3590,David Lee,1983.0,PF,32.0,11,NBA,BOS,30,470.0,15.5,0.499,0.005,0.266,9.1,20.4,14.7,18.3,1.2,2.2,15.1,22.9,0.2,0.7,0.9,0.092,-0.7,0.7,0.0,0.2
4945,25877,2016,3590,David Lee,1983.0,PF,32.0,11,NBA,DAL,25,433.0,24.0,0.66,0.0,0.294,15.2,29.1,22.2,12.5,1.2,2.9,14.8,20.0,1.5,0.7,2.1,0.237,2.3,0.6,2.8,0.5
5000,25932,2016,3878,Gerald Henderson,1987.0,SG,28.0,7,NBA,POR,72,1431.0,12.9,0.526,0.257,0.276,2.3,13.7,8.0,8.2,1.4,1.0,10.3,20.2,1.0,1.0,2.0,0.068,-1.1,-0.7,-1.8,0.1
5007,25939,2016,4008,Greg Smith,1991.0,PF,25.0,5,NBA,MIN,18,192.0,7.9,0.545,0.0,0.531,7.4,17.9,12.7,4.6,1.1,0.4,15.1,10.8,0.1,0.1,0.2,0.045,-4.1,-1.4,-5.5,-0.2
5216,26148,2016,3407,Mike Dunleavy,1980.0,SF,35.0,14,NBA,CHI,31,703.0,9.1,0.543,0.527,0.197,1.2,11.0,6.2,8.1,1.0,1.0,11.3,14.4,0.4,0.5,0.9,0.063,-2.6,-0.9,-3.5,-0.3
5496,25199,2015,4075,Chris Johnson,1990.0,SF,24.0,3,NBA,TOT,29,526.0,10.2,0.515,0.617,0.104,1.7,10.2,5.9,4.6,2.6,1.1,8.5,15.0,0.2,0.6,0.8,0.074,-2.3,0.7,-1.7,0.0
5497,25200,2015,4075,Chris Johnson,1990.0,SF,24.0,3,NBA,PHI,9,187.0,6.0,0.425,0.65,0.133,1.7,14.0,7.5,2.7,2.4,2.2,12.4,16.9,-0.3,0.2,-0.1,-0.017,-5.1,-0.1,-5.2,-0.2
5498,25201,2015,4075,Chris Johnson,1990.0,SF,24.0,3,NBA,UTA,12,211.0,14.2,0.608,0.594,0.094,1.7,8.2,4.9,5.6,3.0,0.0,8.3,15.8,0.4,0.2,0.6,0.139,-0.7,1.2,0.5,0.1
5499,25202,2015,4075,Chris Johnson,1990.0,SF,24.0,3,NBA,MIL,8,128.0,9.7,0.502,0.6,0.067,1.8,8.0,4.9,5.7,2.0,1.3,0.0,10.9,0.1,0.1,0.3,0.102,-1.0,0.9,-0.1,0.1
5529,25232,2015,3590,David Lee,1983.0,PF,31.0,10,NBA,GSW,49,904.0,17.8,0.541,0.006,0.332,10.0,20.3,15.3,13.7,1.7,2.1,12.0,19.6,1.6,1.6,3.2,0.168,0.1,0.8,0.9,0.7
5595,25298,2015,3878,Gerald Henderson,1987.0,SG,27.0,6,NBA,CHO,80,2315.0,13.2,0.514,0.161,0.256,1.7,11.6,6.5,15.6,1.1,0.7,10.5,20.7,1.3,2.3,3.6,0.074,-1.3,0.0,-1.4,0.4
5615,25318,2015,4008,Greg Smith,1991.0,PF,24.0,4,NBA,DAL,42,363.0,10.2,0.605,0.0,0.796,7.8,16.1,11.9,3.4,1.0,2.5,14.3,9.5,0.5,0.3,0.8,0.108,-3.1,0.5,-2.6,-0.1
5687,25390,2015,4095,Jeff Taylor,1989.0,SF,25.0,3,NBA,CHO,29,430.0,8.2,0.481,0.316,0.36,3.5,10.3,6.8,8.2,1.4,0.2,12.6,16.0,-0.1,0.4,0.3,0.034,-4.2,-0.6,-4.9,-0.3
5830,25533,2015,3407,Mike Dunleavy,1980.0,SF,34.0,13,NBA,CHI,63,1838.0,11.6,0.573,0.547,0.181,1.7,12.7,7.3,9.7,1.1,0.8,10.4,14.2,2.4,1.7,4.1,0.108,-0.3,0.2,0.0,0.9
5911,25614,2015,3899,Reggie Williams,1986.0,SF,28.0,6,NBA,SAS,20,105.0,10.5,0.454,0.487,0.103,5.5,12.7,9.2,14.4,0.5,0.0,4.7,18.5,0.1,0.1,0.2,0.083,-2.0,-0.9,-3.0,0.0
6143,24584,2014,4075,Chris Johnson,1990.0,SF,23.0,2,NBA,BOS,40,789.0,10.8,0.537,0.593,0.201,4.3,9.8,7.0,6.0,1.8,0.4,8.6,14.3,0.9,0.5,1.4,0.085,-1.2,0.0,-1.2,0.2
6147,24588,2014,4153,Chris Smith,1987.0,PG,26.0,1,NBA,NYK,2,2.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,-0.02,-6.1,-3.6,-9.7,0.0
6148,24589,2014,3990,Chris Wright,1988.0,SF,25.0,2,NBA,MIL,8,126.0,16.5,0.577,0.029,0.429,8.8,9.4,9.1,6.9,2.9,3.2,10.7,16.7,0.2,0.1,0.3,0.102,-0.4,0.2,-0.2,0.1
6181,24622,2014,3590,David Lee,1983.0,PF,30.0,9,NBA,GSW,69,2288.0,19.1,0.566,0.001,0.302,8.8,21.6,15.3,10.9,1.0,0.9,12.0,24.3,4.1,3.5,7.6,0.16,1.1,0.3,1.3,1.9
6246,24687,2014,3878,Gerald Henderson,1987.0,SG,26.0,5,NBA,CHA,77,2461.0,13.1,0.507,0.124,0.332,1.4,12.9,7.1,13.9,1.1,1.0,9.6,22.1,0.8,2.8,3.6,0.071,-1.6,0.1,-1.5,0.3
6259,24700,2014,4008,Greg Smith,1991.0,C,23.0,3,NBA,HOU,11,100.0,13.7,0.629,0.0,0.179,13.0,16.8,15.0,0.0,0.5,1.5,14.2,15.4,0.2,0.1,0.2,0.119,-1.2,-1.2,-2.5,0.0
6323,24764,2014,4095,Jeff Taylor,1989.0,SF,24.0,2,NBA,CHA,26,629.0,5.9,0.436,0.307,0.216,2.7,8.1,5.4,5.7,1.1,0.6,9.5,19.4,-0.8,0.6,-0.2,-0.019,-5.0,-0.4,-5.4,-0.5
6466,24907,2014,3407,Mike Dunleavy,1980.0,SF,33.0,12,NBA,CHI,82,2584.0,12.6,0.549,0.419,0.212,2.1,13.0,7.6,12.3,1.3,1.4,11.3,17.0,2.4,4.1,6.5,0.121,-0.3,1.1,0.8,1.8
6468,24909,2014,3339,Mike James,1975.0,PG,38.0,12,NBA,CHI,11,77.0,1.5,0.251,0.238,0.095,0.0,10.2,5.2,34.1,1.4,0.0,18.6,16.1,-0.2,0.1,-0.1,-0.073,-8.9,-1.3,-10.2,-0.1
6539,24980,2014,3899,Reggie Williams,1986.0,SF,27.0,5,NBA,OKC,3,17.0,16.4,0.611,0.333,0.0,0.0,0.0,0.0,11.5,3.0,0.0,18.2,28.7,0.0,0.0,0.0,0.034,-0.9,-1.5,-2.4,0.0
6615,25056,2014,4210,Tony Mitchell,1992.0,PF,21.0,1,NBA,DET,21,79.0,18.1,0.54,0.083,1.583,19.7,16.0,18.0,3.4,3.8,3.0,16.4,13.2,0.1,0.1,0.2,0.151,0.5,-0.1,0.4,0.0
6616,25057,2014,4211,Tony Mitchell,1989.0,SF,24.0,1,NBA,MIL,3,10.0,30.9,0.6,0.2,0.0,11.1,0.0,5.7,22.6,5.2,0.0,0.0,22.6,0.0,0.0,0.1,0.242,9.0,1.7,10.6,0.0
6734,23991,2013,3921,Chris Johnson,1985.0,C,27.0,3,NBA,MIN,30,284.0,18.4,0.65,0.0,0.453,7.8,16.6,12.1,4.9,1.3,7.6,12.6,16.2,0.6,0.4,1.0,0.176,-1.2,2.8,1.6,0.3
6735,23992,2013,4075,Chris Johnson,1990.0,SF,22.0,1,NBA,MEM,8,102.0,10.7,0.56,0.72,0.08,5.7,7.1,6.4,3.1,2.1,0.0,10.4,13.1,0.1,0.1,0.2,0.112,-0.1,0.6,0.5,0.1
6741,23998,2013,4076,Chris Wright,1989.0,SG,23.0,1,NBA,DAL,3,4.0,-1.9,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,34.2,0.0,0.0,0.0,-0.375,-10.8,-8.5,-19.2,0.0
6775,24032,2013,3590,David Lee,1983.0,PF,29.0,8,NBA,GSW,79,2907.0,19.2,0.561,0.003,0.276,8.5,24.5,16.8,16.5,1.2,0.6,13.7,23.2,5.4,3.7,9.1,0.15,1.4,0.4,1.8,2.8
6848,24105,2013,3878,Gerald Henderson,1987.0,SG,25.0,4,NBA,CHA,68,2133.0,16.4,0.531,0.117,0.366,2.9,10.8,6.7,15.6,1.7,1.3,9.8,23.5,2.9,0.3,3.3,0.073,0.3,-1.4,-1.1,0.5
6855,24112,2013,4008,Greg Smith,1991.0,C,22.0,2,NBA,HOU,70,1110.0,16.1,0.636,0.004,0.474,11.5,21.2,16.4,3.5,0.8,2.7,11.0,14.7,2.8,1.2,4.0,0.172,-0.6,0.0,-0.6,0.4
6921,24178,2013,4095,Jeff Taylor,1989.0,SF,23.0,1,NBA,CHA,77,1507.0,10.3,0.531,0.386,0.258,3.8,7.7,5.7,7.0,1.6,0.8,9.7,14.9,1.2,0.0,1.2,0.039,-2.1,-1.5,-3.6,-0.6
7069,24326,2013,3407,Mike Dunleavy,1980.0,SF,32.0,11,NBA,MIL,75,1943.0,13.6,0.577,0.479,0.205,1.7,14.9,8.0,11.5,1.0,1.3,11.7,17.3,2.7,1.7,4.4,0.109,0.5,-0.2,0.4,1.2
7070,24327,2013,3339,Mike James,1975.0,PG,37.0,11,NBA,DAL,45,862.0,9.5,0.481,0.461,0.107,1.2,8.0,4.7,23.7,1.5,0.3,16.2,17.9,0.0,0.5,0.4,0.024,-2.5,-1.0,-3.5,-0.3
7117,24374,2013,3899,Reggie Williams,1986.0,SF,26.0,4,NBA,CHA,40,380.0,13.2,0.517,0.545,0.159,2.3,13.3,7.7,18.2,1.7,0.2,11.9,19.2,0.2,0.1,0.3,0.035,0.2,-1.6,-1.4,0.1
7307,23440,2012,3921,Chris Johnson,1985.0,C,26.0,2,NBA,TOT,27,175.0,10.8,0.557,0.0,0.463,10.1,16.8,13.5,1.8,1.9,4.0,23.3,17.1,0.0,0.2,0.2,0.059,-5.8,0.6,-5.2,-0.1
7308,23441,2012,3921,Chris Johnson,1985.0,C,26.0,2,NBA,POR,20,93.0,11.4,0.566,0.0,0.522,9.8,12.8,11.3,1.7,0.6,6.6,19.8,17.4,0.1,0.1,0.1,0.077,-5.8,0.4,-5.4,-0.1
7309,23442,2012,3921,Chris Johnson,1985.0,C,26.0,2,NBA,NOH,7,82.0,10.1,0.546,0.0,0.389,10.3,21.4,16.0,2.0,3.3,1.0,27.5,16.8,-0.1,0.1,0.1,0.038,-5.8,0.9,-4.9,-0.1
7314,23447,2012,3990,Chris Wright,1988.0,SF,23.0,1,NBA,GSW,24,186.0,18.6,0.597,0.0,0.689,11.6,15.8,13.7,3.3,2.0,5.4,12.0,16.5,0.5,0.2,0.6,0.163,0.0,0.1,0.0,0.1
7350,23483,2012,3590,David Lee,1983.0,PF,28.0,7,NBA,GSW,57,2121.0,19.7,0.549,0.005,0.304,9.2,19.9,14.6,13.6,1.3,0.8,12.5,26.0,3.8,1.2,5.0,0.113,1.2,-1.6,-0.3,0.9
7417,23550,2012,3878,Gerald Henderson,1987.0,SG,24.0,3,NBA,CHA,55,1831.0,14.0,0.511,0.065,0.282,3.9,10.5,7.0,13.5,1.4,0.8,11.0,23.0,0.8,0.2,1.0,0.026,-1.0,-1.7,-2.7,-0.3
7427,23560,2012,4008,Greg Smith,1991.0,C,21.0,1,NBA,HOU,8,69.0,12.3,0.636,0.0,0.0,8.3,25.5,16.8,2.2,1.5,5.4,8.3,7.9,0.1,0.1,0.2,0.165,-4.2,3.4,-0.8,0.0
7622,23755,2012,3407,Mike Dunleavy,1980.0,SF,31.0,10,NBA,MIL,55,1445.0,16.6,0.597,0.413,0.284,2.2,13.7,7.8,13.0,1.0,0.4,9.3,19.0,3.5,0.9,4.4,0.146,2.3,-0.9,1.4,1.3
7623,23756,2012,3339,Mike James,1975.0,PG,36.0,10,NBA,CHI,11,120.0,13.7,0.505,0.204,0.163,1.9,7.3,4.6,39.8,1.8,1.2,21.0,25.3,0.1,0.2,0.3,0.111,-0.8,0.4,-0.4,0.0
7669,23802,2012,3899,Reggie Williams,1986.0,SF,25.0,3,NBA,CHA,33,747.0,12.4,0.503,0.42,0.157,4.0,10.5,7.1,14.7,1.4,0.3,10.8,18.9,0.3,0.0,0.3,0.022,-0.4,-2.0,-2.4,-0.1
7765,23898,2012,4061,Walker Russell,1982.0,PG,29.0,1,NBA,DET,28,357.0,7.2,0.401,0.137,0.232,2.3,6.6,4.4,26.0,2.7,0.2,24.0,17.8,-0.6,0.3,-0.4,-0.049,-4.6,-0.9,-5.5,-0.3
7880,22837,2011,3921,Chris Johnson,1985.0,C,25.0,1,NBA,TOT,14,138.0,10.2,0.554,0.0,0.952,10.3,18.2,14.2,3.2,1.2,5.3,25.1,13.5,0.0,0.2,0.2,0.08,-5.2,1.1,-4.2,-0.1
7881,22838,2011,3921,Chris Johnson,1985.0,C,25.0,1,NBA,POR,10,106.0,10.3,0.521,0.0,1.0,12.2,19.3,15.6,2.8,1.5,4.7,23.6,15.0,0.0,0.2,0.2,0.069,-5.9,0.6,-5.3,-0.1
7882,22839,2011,3921,Chris Johnson,1985.0,C,25.0,1,NBA,BOS,4,32.0,9.9,0.773,0.0,0.667,4.1,14.5,9.6,4.5,0.0,7.3,34.0,8.8,0.0,0.1,0.1,0.118,-3.0,2.6,-0.4,0.0
7927,22884,2011,3590,David Lee,1983.0,PF,27.0,6,NBA,GSW,73,2634.0,17.8,0.549,0.003,0.273,9.1,21.9,15.4,14.0,1.4,0.9,13.4,21.2,4.1,2.0,6.0,0.11,0.5,-0.9,-0.4,1.1
7999,22956,2011,3878,Gerald Henderson,1987.0,SG,23.0,2,NBA,CHA,68,1661.0,13.2,0.509,0.063,0.286,3.5,11.6,7.5,10.7,1.6,1.6,9.1,19.9,0.9,1.4,2.4,0.068,-1.6,-0.2,-1.8,0.1
8217,23174,2011,3407,Mike Dunleavy,1980.0,SG,30.0,9,NBA,IND,61,1683.0,14.6,0.593,0.488,0.24,1.9,16.2,9.1,10.1,1.2,1.3,10.7,16.9,2.6,1.9,4.5,0.129,1.1,0.4,1.6,1.5
8248,23205,2011,3967,Patrick Ewing,1984.0,SF,26.0,1,NBA,NOH,7,19.0,0.6,0.222,0.4,0.8,6.4,6.4,6.4,14.2,0.0,4.4,12.9,19.5,-0.1,0.0,-0.1,-0.158,-5.6,-3.4,-9.1,0.0
8278,23235,2011,3899,Reggie Williams,1986.0,SF,24.0,2,NBA,GSW,80,1626.0,14.9,0.585,0.421,0.234,3.1,12.2,7.5,11.4,0.9,0.1,8.3,18.7,3.4,0.3,3.7,0.109,1.6,-1.8,-0.2,0.7
8543,22297,2010,3590,David Lee,1983.0,C,26.0,5,NBA,NYK,81,3019.0,22.2,0.584,0.006,0.262,8.4,27.6,17.9,17.5,1.4,1.0,11.9,23.8,7.4,2.9,10.3,0.163,2.6,0.0,2.5,3.5
8606,22360,2010,3878,Gerald Henderson,1987.0,SG,22.0,1,NBA,CHA,43,355.0,9.7,0.453,0.183,0.452,5.2,13.3,9.3,6.0,1.5,2.1,10.1,18.2,-0.1,0.5,0.4,0.056,-3.1,0.5,-2.5,0.0
8775,22529,2010,3691,Marcus Williams,1985.0,PG,24.0,4,NBA,MEM,62,872.0,10.6,0.456,0.299,0.203,1.7,10.7,6.2,26.7,1.9,0.1,20.0,18.5,-0.4,0.5,0.0,0.002,-1.6,-1.5,-3.1,-0.2
8797,22551,2010,3407,Mike Dunleavy,1980.0,SF,29.0,8,NBA,IND,67,1486.0,13.1,0.531,0.423,0.283,1.8,15.6,8.7,11.3,1.3,0.7,10.3,20.7,0.8,1.5,2.3,0.075,-0.5,-0.4,-0.8,0.4
8801,22555,2010,3339,Mike James,1975.0,PG,34.0,9,NBA,WAS,4,46.0,5.5,0.383,0.3,0.4,2.5,5.1,3.8,17.3,3.4,0.0,17.5,28.1,-0.2,0.0,-0.1,-0.14,-4.2,-0.6,-4.8,0.0
8858,22612,2010,3899,Reggie Williams,1986.0,SF,23.0,1,NBA,GSW,24,782.0,16.1,0.588,0.325,0.219,2.5,13.3,7.8,12.7,1.4,0.5,8.5,18.6,1.5,0.3,1.7,0.105,1.2,-1.8,-0.6,0.3
9130,21724,2009,3590,David Lee,1983.0,C,25.0,4,NBA,NYK,81,2824.0,19.0,0.59,0.003,0.347,9.6,27.9,18.4,10.1,1.4,0.6,12.0,19.2,5.9,3.1,9.0,0.154,1.0,-0.2,0.8,2.0
9133,21727,2009,3667,Dee Brown,1984.0,PG,24.0,2,NBA,TOT,19,261.0,6.6,0.449,0.49,0.102,3.1,10.1,6.5,19.8,2.0,0.0,24.9,11.8,-0.2,0.1,-0.1,-0.018,-4.8,-0.3,-5.1,-0.2
9134,21728,2009,3667,Dee Brown,1984.0,PG,24.0,2,NBA,WAS,17,233.0,7.8,0.452,0.455,0.068,3.4,10.9,7.1,20.6,2.3,0.0,23.6,11.6,-0.1,0.1,0.0,-0.006,-4.3,0.0,-4.3,-0.1
9135,21729,2009,3667,Dee Brown,1984.0,PG,24.0,2,NBA,PHO,2,28.0,-2.9,0.425,0.8,0.4,0.0,4.0,2.1,13.1,0.0,0.0,33.8,14.0,-0.1,0.0,-0.1,-0.116,-8.7,-3.1,-11.8,-0.1
9347,21941,2009,3691,Marcus Williams,1985.0,PG,23.0,3,NBA,GSW,9,54.0,3.7,0.305,0.353,0.353,0.0,8.1,4.0,32.6,0.9,1.3,16.9,18.7,-0.1,0.0,-0.1,-0.127,-5.1,-3.1,-8.2,-0.1
9348,21942,2009,3777,Marcus Williams,1986.0,PF,22.0,2,NBA,SAS,2,3.0,53.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.3,0.0,0.0,0.0,0.517,15.9,6.8,22.7,0.0
9379,21973,2009,3407,Mike Dunleavy,1980.0,SG,28.0,7,NBA,IND,18,495.0,14.4,0.52,0.388,0.28,3.1,12.1,7.6,14.2,1.2,1.3,12.7,26.3,0.1,0.4,0.5,0.048,0.5,-1.4,-1.0,0.1
9380,21974,2009,3339,Mike James,1975.0,PG,33.0,8,NBA,TOT,61,1649.0,9.7,0.483,0.358,0.16,1.7,7.9,4.7,19.1,1.4,0.3,14.6,17.8,-0.2,0.0,-0.1,-0.004,-2.1,-1.9,-3.9,-0.8
9381,21975,2009,3339,Mike James,1975.0,PG,33.0,8,NBA,NOH,8,74.0,5.8,0.386,0.16,0.08,1.6,9.8,5.7,17.2,1.5,0.0,10.4,18.8,-0.1,0.1,0.0,-0.031,-5.2,-0.8,-6.0,-0.1
9382,21976,2009,3339,Mike James,1975.0,PG,33.0,8,NBA,WAS,53,1575.0,9.9,0.487,0.368,0.164,1.7,7.8,4.7,19.2,1.4,0.3,14.8,17.8,-0.1,0.0,-0.1,-0.003,-1.9,-1.9,-3.8,-0.7
9623,21040,2008,3657,Bobby Jones,1984.0,SF,24.0,2,NBA,TOT,47,531.0,9.9,0.548,0.379,0.364,6.2,13.3,9.8,7.9,1.4,0.4,14.7,15.9,0.4,0.4,0.8,0.07,-3.3,-0.4,-3.7,-0.2
9624,21041,2008,3657,Bobby Jones,1984.0,SF,24.0,2,NBA,DEN,25,222.0,8.5,0.55,0.359,0.438,5.5,12.9,9.3,6.9,1.1,0.3,15.5,17.3,0.1,0.2,0.3,0.071,-4.1,-0.7,-4.7,-0.2
9625,21042,2008,3657,Bobby Jones,1984.0,SF,24.0,2,NBA,MEM,9,137.0,12.1,0.495,0.361,0.278,8.1,14.0,11.0,12.0,1.8,1.1,11.0,14.7,0.1,0.1,0.2,0.079,-2.0,0.0,-2.0,0.0
9626,21043,2008,3657,Bobby Jones,1984.0,SF,24.0,2,NBA,HOU,4,9.0,5.9,0.5,0.0,0.0,0.0,12.3,6.3,0.0,5.9,0.0,20.0,25.4,0.0,0.0,0.0,-0.018,-13.2,2.3,-10.9,0.0
9627,21044,2008,3657,Bobby Jones,1984.0,SF,24.0,2,NBA,MIA,6,143.0,11.2,0.636,0.469,0.406,6.6,13.6,10.1,5.9,0.7,0.0,15.7,14.8,0.2,0.1,0.2,0.08,-2.3,-1.2,-3.4,-0.1
9628,21045,2008,3657,Bobby Jones,1984.0,SF,24.0,2,NBA,SAS,3,20.0,3.4,0.25,0.5,0.0,0.0,11.6,5.9,7.2,5.4,0.0,20.0,12.0,-0.1,0.0,0.0,-0.042,-6.8,4.8,-2.0,0.0
9707,21124,2008,3590,David Lee,1983.0,PF,24.0,3,NBA,NYK,81,2356.0,18.0,0.606,0.003,0.383,11.3,24.1,17.5,6.7,1.2,1.0,11.8,15.6,5.6,1.8,7.4,0.151,1.1,-0.7,0.4,1.4
9917,21334,2008,3542,Luke Jackson,1981.0,SF,26.0,4,NBA,MIA,14,228.0,9.1,0.438,0.375,0.288,3.6,13.9,8.7,12.6,1.9,0.0,9.1,20.6,-0.2,0.2,0.0,-0.004,-3.0,-1.0,-3.9,-0.1
9935,21352,2008,3691,Marcus Williams,1985.0,PG,22.0,2,NBA,NJN,53,854.0,11.0,0.499,0.485,0.16,1.9,11.8,6.9,27.8,1.5,0.3,19.3,20.8,-0.4,0.5,0.2,0.009,-0.8,-1.6,-2.4,-0.1
9936,21353,2008,3777,Marcus Williams,1986.0,PF-SF,21.0,1,NBA,TOT,11,36.0,6.8,0.25,0.0,0.0,12.7,25.8,19.2,14.8,1.4,2.1,0.0,25.7,-0.1,0.0,-0.1,-0.134,-5.0,-2.7,-7.8,-0.1
9937,21354,2008,3777,Marcus Williams,1986.0,SF,21.0,1,NBA,SAS,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.9,0.0,23.9,0.0,0.0,0.0,-0.364,-8.9,7.0,-1.8,0.0
9938,21355,2008,3777,Marcus Williams,1986.0,PF,21.0,1,NBA,LAC,10,34.0,7.2,0.263,0.0,0.0,13.5,27.4,20.4,15.6,1.5,0.0,0.0,25.8,-0.1,0.0,-0.1,-0.121,-4.8,-3.3,-8.1,-0.1
9970,21387,2008,3407,Mike Dunleavy,1980.0,SG,27.0,6,NBA,IND,82,2953.0,17.3,0.605,0.348,0.361,2.1,13.7,7.8,16.1,1.4,0.8,12.8,21.8,5.9,2.6,8.5,0.138,1.9,-0.2,1.7,2.8
9972,21389,2008,3339,Mike James,1975.0,PG,32.0,7,NBA,TOT,54,720.0,8.6,0.437,0.334,0.166,2.2,8.7,5.5,13.4,1.6,0.2,10.4,22.1,-0.5,0.9,0.3,0.023,-3.4,-0.4,-3.8,-0.3
9973,21390,2008,3339,Mike James,1975.0,PG,32.0,7,NBA,HOU,33,537.0,9.6,0.44,0.327,0.186,2.3,8.5,5.5,16.4,1.7,0.3,10.6,23.3,-0.3,0.7,0.4,0.037,-3.0,0.1,-2.9,-0.1
9974,21391,2008,3339,Mike James,1975.0,PG,32.0,7,NBA,NOH,21,183.0,5.7,0.428,0.359,0.094,1.9,9.2,5.4,4.8,1.2,0.0,9.5,18.7,-0.2,0.1,-0.1,-0.018,-4.7,-1.6,-6.3,-0.2
10213,20519,2007,3657,Bobby Jones,1984.0,SF,23.0,1,NBA,PHI,44,336.0,9.4,0.495,0.097,0.441,7.9,12.5,10.2,7.8,1.7,0.2,13.9,17.7,0.0,0.3,0.3,0.045,-4.2,-0.7,-4.9,-0.2
10278,20584,2007,3590,David Lee,1983.0,PF,23.0,2,NBA,NYK,58,1731.0,20.2,0.652,0.0,0.433,13.6,27.6,20.7,10.2,1.5,1.1,16.2,14.9,4.8,2.1,6.9,0.191,2.8,0.2,3.0,2.2
